,Symbol,Owner,Relationship,Date,Cost,# Shares,Value($),Total Shares,Filing,Type,currentprice,movingaverage
62,ZNGA,Kim Bernard Jin,President of Publishing,"Jun 16, 2021",$10.20,24000,244800,1002804,"Jun 17, 2021, 07:40 PM",sell,10.319999694824219,9.960888870557149
63,ZS,Brown Andrew William Fraser,Director,"Jun 17, 2021",$212.27,10000,2122700,17632,"Jun 17, 2021, 07:40 PM",sell,218.60000610351562,180.6804162343343
64,ZNGA,Griffin James Gerard,Chief Financial Officer,"Jun 17, 2021",$10.24,15848,162284,560176,"Jun 17, 2021, 07:38 PM",sell,10.319999694824219,9.960888870557149
65,VEEV,Zuppas Eleni Nitsa,Chief Marketing Officer,"Jun 16, 2021",$301.06,425,127950,8719,"Jun 17, 2021, 07:33 PM",sell,306.70001220703125,277.66455535888673
66,BILL,Chung Bora,Chief Experience Officer,"Jun 16, 2021",$161.94,20398,3303267,45994,"Jun 17, 2021, 07:24 PM",sell,178.5,139.26116587320965
67,BE,Brennan Susan Seilheimer,EVP & COO,"Jun 17, 2021",$24.69,11397,281423,204771,"Jun 17, 2021, 07:15 PM",sell,24.649999618530273,25.923944505055747
68,KTOS,Carrai Phillip D,"President, STC Division","Jun 15, 2021",$26.45,3500,92590,124622,"Jun 17, 2021, 07:15 PM",sell,26.360000610351562,25.307555601331924
69,SEM,JACKSON MARTIN F,Executive Vice President,"Jun 16, 2021",$42.61,100000,4261000,1035428,"Jun 17, 2021, 07:14 PM",sell,40.810001373291016,30.543500010172526
70,BBW,Leavitt Craig,Director,"Jun 15, 2021",$17.60,1258,22141,79633,"Jun 17, 2021, 07:13 PM",sell,16.290000915527344,6.820888907379574
71,BBW,Leavitt Craig,Director,"Jun 16, 2021",$17.29,14002,242095,65631,"Jun 17, 2021, 07:13 PM",sell,16.290000915527344,6.820888907379574
72,RMI,DIMELLA ROBERT A,Portfolio Manager,"Jun 17, 2021",$23.16,605,14010,7651,"Jun 17, 2021, 07:13 PM",sell,23.110000610351562,21.684055529700384
73,RMI,DIMELLA ROBERT A,Portfolio Manager,"Jun 16, 2021",$23.32,6744,157242,8256,"Jun 17, 2021, 07:13 PM",sell,23.110000610351562,21.684055529700384
74,BBW,Dixon Robert L JR,Director,"Jun 16, 2021",$16.52,12111,200074,46720,"Jun 17, 2021, 07:09 PM",sell,16.290000915527344,6.820888907379574
75,BBW,Dixon Robert L JR,Director,"Jun 15, 2021",$17.60,1089,19166,58831,"Jun 17, 2021, 07:09 PM",sell,16.290000915527344,6.820888907379574
76,BE,SODERBERG SHAWN MARIE,"EVP, GC & Secretary","Jun 16, 2021",$23.79,13014,309572,335764,"Jun 17, 2021, 07:08 PM",sell,24.649999618530273,25.923944505055747
77,BE,Sridhar KR,Chairman & CEO,"Jun 16, 2021",$23.92,44356,1060898,422724,"Jun 17, 2021, 07:06 PM",sell,24.649999618530273,25.923944505055747
78,COO,Ricupati Agostino,"SVP, Fin & Tax; Chief Actg Off","Jun 17, 2021",$385.55,2200,848217,1101,"Jun 17, 2021, 07:06 PM",sell,383.9599914550781,370.3461118910048
79,NSTG,FINNEY ELISHA W,Director,"Jun 16, 2021",$58.70,2760,162012,4650,"Jun 17, 2021, 07:04 PM",sell,64.19000244140625,60.88905535803901
80,PRKR,POEHLMAN CYNTHIA,CFO,"Jun 15, 2021",$1.26,25000,31501,25293,"Jun 17, 2021, 07:04 PM",sell,1.2000000476837158,0.9339444440272119
81,RMM,DIMELLA ROBERT A,Portfolio Manager,"Jun 15, 2021",$20.35,1264,25727,14599,"Jun 17, 2021, 07:04 PM",sell,20.260000228881836,18.45722222858005
82,RMM,DIMELLA ROBERT A,Portfolio Manager,"Jun 17, 2021",$20.29,9330,189309,0,"Jun 17, 2021, 07:04 PM",sell,20.260000228881836,18.45722222858005
83,RMM,DIMELLA ROBERT A,Portfolio Manager,"Jun 16, 2021",$20.34,5269,107152,9330,"Jun 17, 2021, 07:04 PM",sell,20.260000228881836,18.45722222858005
84,RDFN,Wiener Adam,President of Real Estate Ops.,"Jun 15, 2021",$60.32,6500,392095,304966,"Jun 17, 2021, 07:02 PM",sell,59.40999984741211,63.48027773963081
85,SNAP,Andersen Derek,Chief Financial Officer,"Jun 16, 2021",$61.62,33577,2069024,1231065,"Jun 17, 2021, 07:01 PM",sell,63.16999816894531,52.30805551740858
86,SNAP,Andersen Derek,Chief Financial Officer,"Jun 15, 2021",$63.20,18928,1196250,1237749,"Jun 17, 2021, 07:01 PM",sell,63.16999816894531,52.30805551740858
87,DLR,KENNEDY KEVIN,Director,"Jun 15, 2021",$162.05,350,56718,0,"Jun 17, 2021, 06:54 PM",sell,154.1999969482422,143.80583301120333
88,KDNY,Glicklich Alan,Chief Medical Officer,"Jun 16, 2021",$16.35,20000,326968,0,"Jun 17, 2021, 06:40 PM",sell,15.180000305175781,15.76375004582935
89,OPTN,Marino Michael F III,Chief Legal Officer & Corp Sec,"Jun 17, 2021",$3.73,576,2148,98590,"Jun 17, 2021, 06:39 PM",sell,3.619999885559082,3.869055559900072
90,MATX,COX MATTHEW J,Chairman & CEO,"Jun 17, 2021",$62.61,5000,313063,308788,"Jun 17, 2021, 06:38 PM",sell,61.27000045776367,62.6537777794732
91,ZM,Azus Ryan,Chief Revenue Officer,"Jun 15, 2021",$361.77,4552,1646788,43499,"Jun 17, 2021, 06:20 PM",sell,374.239990234375,382.9409444173177
92,FICO,LANSING WILLIAM J,President and CEO,"Jun 15, 2021",$500.06,16666,8334026,160051,"Jun 17, 2021, 06:13 PM",sell,502.3500061035156,481.13716600206163
93,HCAT,Nelli James Patrick Jr.,President,"Jun 15, 2021",$56.50,3430,193787,133828,"Jun 17, 2021, 06:12 PM",sell,54.54999923706055,45.656555610232886
94,HCAT,Pramoda Anita,Director,"Jun 15, 2021",$56.53,5443,307699,4186,"Jun 17, 2021, 06:12 PM",sell,54.54999923706055,45.656555610232886
95,MDT,PARKHILL KAREN L,EVP & Chief Financial Officer,"Jun 15, 2021",$124.47,605,75304,86223,"Jun 17, 2021, 06:11 PM",sell,123.2300033569336,117.24866633945041
96,TRHC,Knowlton Orsula V,President,"Jun 15, 2021",$44.25,10000,442456,707873,"Jun 17, 2021, 06:11 PM",sell,49.099998474121094,43.05530563990275
97,CDEV,Jensen Brent P,"VP, Chief Accounting Officer","Jun 16, 2021",$6.85,17159,117539,1093039,"Jun 17, 2021, 06:10 PM",sell,6.570000171661377,3.0568388842874104
98,CDEV,Jensen Brent P,"VP, Chief Accounting Officer","Jun 15, 2021",$6.87,72969,500961,1110198,"Jun 17, 2021, 06:10 PM",sell,6.570000171661377,3.0568388842874104
99,ACET,Jakobovits Aya,Director,"Jun 15, 2021",$11.16,3847,42919,215883,"Jun 17, 2021, 06:08 PM",sell,10.539999961853027,13.430527824825711
100,OKTA,Kerrest Jacques Frederic,See Remarks,"Jun 16, 2021",$223.37,3513,784708,24459,"Jun 17, 2021, 05:57 PM",sell,239.25999450683594,243.33233337402345
1,CRSP,Kulkarni Samarth,Chief Executive Officer,"Jun 15, 2021",$126.43,30000,3792804,207336,"Jun 17, 2021, 05:44 PM",sell,127.83000183105469,129.46372218661838
2,LBTY,DICK JOHN W,Director,"Jun 15, 2021",$27.92,4252,118707,127629,"Jun 17, 2021, 05:27 PM",sell,na,na
3,ITRI,GLANVILLE THOMAS S,Director,"Jun 15, 2021",$99.31,2000,198620,7779,"Jun 17, 2021, 05:27 PM",sell,94.9800033569336,88.91850017971463
4,WDAY,Fernandez Gomez Luciano,Co-CEO,"Jun 15, 2021",$231.11,1345,310840,261714,"Jun 17, 2021, 05:27 PM",sell,236.49000549316406,237.07022154066297
5,SNEX,Dunaway William J,Chief Financial Officer,"Jun 15, 2021",$66.34,6000,398041,58321,"Jun 17, 2021, 05:25 PM",sell,62.91999816894531,61.12138871086968
6,SNEX,Dunaway William J,Chief Financial Officer,"Jun 16, 2021",$65.16,14000,912198,58321,"Jun 17, 2021, 05:25 PM",sell,62.91999816894531,61.12138871086968
7,OCGN,Subramanian Sanjay,Chief Financial Officer,"Jun 15, 2021",$7.00,31000,217000,45591,"Jun 17, 2021, 05:25 PM",sell,6.570000171661377,5.022738898131583
8,AMBA,Kohn Leslie,Chief Technology Officer,"Jun 16, 2021",$101.39,5444,551967,866907,"Jun 17, 2021, 05:22 PM",sell,97.93000030517578,91.80488902197943
9,AMBA,Wang Feng-Ming,CEO,"Jun 16, 2021",$101.39,6184,626996,605910,"Jun 17, 2021, 05:21 PM",sell,97.93000030517578,91.80488902197943
10,AMEH,Young Albert WaiChow,Chief Administrative Officer,"Jun 15, 2021",$48.58,5000,242900,1110265,"Jun 17, 2021, 05:19 PM",sell,53.470001220703125,24.84516666200426
11,INGN,Huggenberger Raymond,Director,"Jun 15, 2021",$63.81,7087,452212,23670,"Jun 17, 2021, 05:09 PM",sell,66.94999694824219,48.370722177293565
12,EMAN,GINOLA LTD,10% Owner,"Jun 16, 2021",$4.04,72552,293125,452755,"Jun 17, 2021, 05:08 PM",sell,3.869999885559082,2.5216111123561857
13,EMAN,GINOLA LTD,10% Owner,"Jun 15, 2021",$4.02,152528,613853,651594,"Jun 17, 2021, 05:08 PM",sell,3.869999885559082,2.5216111123561857
14,IONS,MUTO FREDERICK T,Director,"Jun 15, 2021",$36.63,15000,549500,31683,"Jun 17, 2021, 05:05 PM",sell,37.790000915527344,48.61572225358751
15,CVS,Brennan Troyen A,EVP and Chief Medical Officer,"Jun 15, 2021",$86.00,67552,5809472,142826,"Jun 17, 2021, 05:04 PM",sell,82.4000015258789,72.74827789730496
16,SAIL,McMartin James Cameron,Director,"Jun 15, 2021",$46.63,5000,233144,42763,"Jun 17, 2021, 05:04 PM",sell,50.18000030517578,50.22533338334825
17,SAIL,McClain Mark D.,CEO and President,"Jun 15, 2021",$47.03,20000,940600,998044,"Jun 17, 2021, 05:01 PM",sell,50.18000030517578,50.22533338334825
18,SAIL,McClain Mark D.,CEO and President,"Jun 15, 2021",$47.03,2000,94060,30000,"Jun 17, 2021, 05:01 PM",sell,50.18000030517578,50.22533338334825
19,SAIL,McClain Mark D.,CEO and President,"Jun 15, 2021",$47.03,2000,94060,30000,"Jun 17, 2021, 05:01 PM",sell,50.18000030517578,50.22533338334825
20,SAIL,McClain Mark D.,CEO and President,"Jun 15, 2021",$47.03,30000,1410900,360994,"Jun 17, 2021, 05:01 PM",sell,50.18000030517578,50.22533338334825
21,SAIL,McClain Mark D.,CEO and President,"Jun 15, 2021",$47.03,2000,94060,30000,"Jun 17, 2021, 05:01 PM",sell,50.18000030517578,50.22533338334825
22,NVTA,Knight Kenneth D.,Chief Operating Officer,"Jun 15, 2021",$30.30,14874,450687,309843,"Jun 17, 2021, 04:52 PM",sell,32.790000915527344,42.266722181108264
23,TRU,MAULDIN RICHARD DANE,EVP - Operations,"Jun 15, 2021",$106.83,1250,133538,19282,"Jun 17, 2021, 04:51 PM",sell,108.47000122070312,94.71583332485623
24,AJG,Ziebell William F,VICE PRESIDENT,"Jun 15, 2021",$144.71,13200,1910172,19362,"Jun 17, 2021, 04:51 PM",sell,137.55999755859375,124.60466647677951
25,PI,DOSSETT JEFFREY,Chief Revenue Officer,"Jun 16, 2021",$49.49,2990,147979,37015,"Jun 17, 2021, 04:50 PM",sell,49.880001068115234,48.06261111365424
26,PI,Baker Cary,Chief Financial Officer,"Jun 16, 2021",$49.47,1247,61690,25233,"Jun 17, 2021, 04:48 PM",sell,49.880001068115234,48.06261111365424
27,SABR,SHIRK DAVID J,Executive Vice President,"Jun 17, 2021",$14.00,48167,674535,228579,"Jun 17, 2021, 04:47 PM",sell,13.930000305175781,12.216250006357829
28,EGHT,Cota Germaine,Chief Accting Off./Treasurer,"Jun 16, 2021",$25.52,1857,47383,58385,"Jun 17, 2021, 04:45 PM",sell,26.239999771118164,28.042722198698257
29,VOYA,Ferrara Nancy,See Remarks,"Jun 16, 2021",$64.01,3000,192027,16816,"Jun 17, 2021, 04:45 PM",sell,59.43000030517578,59.92211119333903
30,LEVI,Friedman David A,Director,"Jun 15, 2021",$26.56,25000,664000,26126,"Jun 17, 2021, 04:44 PM",sell,24.579999923706055,22.378666644626193
31,AZEK,Kasson Michelle A,CIO,"Jun 16, 2021",$40.25,3251,130853,0,"Jun 17, 2021, 04:41 PM",sell,40.029998779296875,41.15816671583388
32,AJG,Hudson Scott R,Vice President,"Jun 15, 2021",$143.93,9500,1367335,34752,"Jun 17, 2021, 04:41 PM",sell,137.55999755859375,124.60466647677951
33,SWCH,Borden Teresa A.,Chief Construction Officer,"Jun 15, 2021",$21.28,150000,3192285,3472502,"Jun 17, 2021, 04:40 PM",sell,21.920000076293945,16.96288882361518
34,VRSN,Indelicarto Thomas C,"EVP, Gen Counsel & Secretary","Jun 16, 2021",$221.90,613,136025,56099,"Jun 17, 2021, 04:40 PM",sell,223.1699981689453,205.43216654459636
35,CRNC,Dhawan Sanjay,Chief Executive Officer,"Jun 15, 2021",$113.29,14318,1622038,309522,"Jun 17, 2021, 04:35 PM",sell,109.13999938964844,93.3376111984253
36,UNH,BURKE RICHARD T,Director,"Jun 15, 2021",$400.25,4000,1601000,1295500,"Jun 17, 2021, 04:35 PM",sell,389.3699951171875,358.41094546847876
37,BIGC,Vaillancourt Paul,Chief Services Officer,"Jun 15, 2021",$62.02,12083,749338,222195,"Jun 17, 2021, 04:35 PM",sell,63.459999084472656,67.85094470977783
38,TRIP,TEUNISSEN ERNST 02494,Chief Financial Officer,"Jun 15, 2021",$40.96,9120,373555,0,"Jun 17, 2021, 04:34 PM",sell,40.79999923706055,37.08094437917074
39,ARDX,Jacobs Jeffrey W,Chief Scientific Officer,"Jun 15, 2021",$7.29,7500,54658,124051,"Jun 17, 2021, 04:32 PM",sell,7.28000020980835,6.685611102316114
40,TRIP,Kalvert Seth J,Chief Legal Officer & Sec.,"Jun 15, 2021",$40.96,5015,205414,0,"Jun 17, 2021, 04:31 PM",sell,40.79999923706055,37.08094437917074
41,NTAP,CERNUDA CESAR,President,"Jun 15, 2021",$82.84,14000,1159735,37700,"Jun 17, 2021, 04:24 PM",sell,78.16000366210938,65.288611263699
42,MDB,Cochran Hope F,Director,"Jun 15, 2021",$344.32,500,172160,4092,"Jun 17, 2021, 04:12 PM",sell,384.0199890136719,310.68833202785913
43,IBKR,Peterffy Thomas,Chairman,"Jun 16, 2021",$64.42,20000,1288491,7228611,"Jun 17, 2021, 04:11 PM",sell,63.2599983215332,64.57950000762939
44,IBKR,Peterffy Thomas,Chairman,"Jun 15, 2021",$64.72,20000,1294400,7247511,"Jun 17, 2021, 04:11 PM",sell,63.2599983215332,64.57950000762939
45,AMD,Papermaster Mark D,Chief Technology Officer & EVP,"Jun 15, 2021",$81.05,55000,4457750,1209795,"Jun 17, 2021, 04:11 PM",sell,84.6500015258789,84.30227779812283
46,CVET,Wolin Benjamin,President and CEO,"Jun 15, 2021",$27.53,2778,76473,143412,"Jun 17, 2021, 04:10 PM",sell,25.239999771118164,29.73302778667874
47,CVET,Wolin Benjamin,President and CEO,"Jun 16, 2021",$27.48,2778,76333,140634,"Jun 17, 2021, 04:10 PM",sell,25.239999771118164,29.73302778667874
48,ENTG,OLSON PAUL L H,Director,"Jun 15, 2021",$119.41,2000,238813,23550,"Jun 17, 2021, 04:06 PM",sell,117.23999786376953,100.82772246466743
49,AXON,MCBRADY MATTHEW R,Director,"Jun 16, 2021",$155.46,660,102607,5337,"Jun 17, 2021, 04:05 PM",sell,156.85000610351562,137.64927766588
50,GTHX,Velleca Mark A.,Director,"Jun 17, 2021",$21.77,10000,217728,61000,"Jun 17, 2021, 04:05 PM",sell,20.950000762939453,19.96747221946716
51,GTHX,Velleca Mark A.,Director,"Jun 16, 2021",$21.74,10000,217384,61000,"Jun 17, 2021, 04:05 PM",sell,20.950000762939453,19.96747221946716
52,GTHX,Velleca Mark A.,Director,"Jun 15, 2021",$22.39,10000,223909,61000,"Jun 17, 2021, 04:05 PM",sell,20.950000762939453,19.96747221946716
53,CRC,ARES MANAGEMENT LLC,10% Owner,"Jun 15, 2021",$32.71,275000,8995250,15176592,"Jun 17, 2021, 04:05 PM",sell,32.59000015258789,23.71521734747087
54,SMLR,Pan Wayne T,Director,"Jun 15, 2021",$108.17,1089,117794,43778,"Jun 17, 2021, 04:03 PM",sell,109.75,92.24877226087781
55,XYL,Toussaint Claudia S,"SVP,CSO,Gen Counsel & Corp Sec","Jun 16, 2021",$116.59,5953,694056,53109,"Jun 17, 2021, 04:01 PM",sell,113.41999816894531,102.5221666124132
56,LMNR,PALAMOUNTAIN MARK,"CFO, Treasurer & Secretary","Jun 16, 2021",$18.77,650,12202,59687,"Jun 17, 2021, 04:01 PM",sell,18.06999969482422,16.546944443384806
57,EGAN,SMIT ERIC,Chief Financial Officer,"Jun 15, 2021",$10.70,5000,53520,131187,"Jun 17, 2021, 04:01 PM",sell,11.029999732971191,11.882277753618029
58,SQFT,KATZ GARY MORRIS,"SVP, Asset Management","Jun 16, 2021",$4.08,6000,24477,77747,"Jun 17, 2021, 03:42 PM",sell,4.010000228881836,3.6912500099702314
59,CMXC,HARGREAVES BRADLEY S,VP Technology & Operations,"Jun 15, 2021",$0.28,5000,1400,5638252,"Jun 17, 2021, 03:40 PM",sell,0.28999999165534973,0.29567777804202505
60,CMXC,HARGREAVES BRADLEY S,VP Technology & Operations,"Jun 16, 2021",$0.29,5000,1450,5633252,"Jun 17, 2021, 03:40 PM",sell,0.28999999165534973,0.29567777804202505
61,PD,Justice Dave,Chief Revenue Officer,"Jun 16, 2021",$40.72,1748,71186,305667,"Jun 17, 2021, 03:18 PM",sell,43.720001220703125,39.79572223027547
62,PD,Justice Dave,Chief Revenue Officer,"Jun 15, 2021",$40.85,1748,71401,306593,"Jun 17, 2021, 03:18 PM",sell,43.720001220703125,39.79572223027547
63,MRVL,Meintjes Willem A,"SVP, Chief Accounting Officer","Jun 15, 2021",$53.51,10000,535100,34136,"Jun 17, 2021, 03:05 PM",sell,54.27000045776367,46.58994439442952
64,SEDG,GANI MARCEL,Director,"Jun 15, 2021",$236.67,334,79047,27717,"Jun 17, 2021, 02:59 PM",sell,264.2300109863281,276.60049981011286
65,SEDG,GANI MARCEL,Director,"Jun 16, 2021",$248.07,333,82609,27250,"Jun 17, 2021, 02:59 PM",sell,264.2300109863281,276.60049981011286
66,CPSI,Fowler Christopher L,COO and President (TruBridge),"Jun 15, 2021",$33.84,1000,33840,52838,"Jun 17, 2021, 02:52 PM",sell,33.439998626708984,30.082000075446235
67,MRVL,MURPHY MATTHEW J,CEO and President,"Jun 15, 2021",$53.57,20000,1071400,227900,"Jun 17, 2021, 02:43 PM",sell,54.27000045776367,46.58994439442952
68,ORCC,REGENTS OF THE UNIVERSITY OF CALIFORNIA,10% Owner,"Jun 16, 2021",$14.91,124437,1855978,39139093,"Jun 17, 2021, 02:38 PM",sell,14.1899995803833,13.503500000635784
69,NTGR,MERRILL MARK G,CTO,"Jun 15, 2021",$40.84,5500,224645,47283,"Jun 17, 2021, 02:20 PM",sell,38.20000076293945,37.92383342319064
70,FFIV,Pelzer Francis J.,"EVP, Chief Financial Officer","Jun 15, 2021",$191.90,500,95950,12972,"Jun 17, 2021, 02:18 PM",sell,183.50999450683594,179.7143889957004
71,FFIV,Locoh-Donou Francois,"President, CEO & Director","Jun 15, 2021",$191.90,1300,249470,75221,"Jun 17, 2021, 02:17 PM",sell,183.50999450683594,179.7143889957004
72,CLNE,TOTAL MARKETING SERVICES S.A.S.,10% Owner,"Jun 15, 2021",$11.17,750000,8377800,42581801,"Jun 17, 2021, 02:04 PM",sell,11.779999732971191,8.861388907167647
73,RKFL,Funk Gert,Chairman,"Sep 08, 2020",$1.00,115000,115000,4985394,"Jun 17, 2021, 01:55 PM",sell,1.4500000476837158,2.0639999998940364
74,ALTR,Chouinard Brett R,See Remarks,"Jun 16, 2021",$64.07,4896,313703,15118,"Jun 17, 2021, 01:36 PM",sell,64.27999877929688,58.54155548943414
75,TFSL,MULLIGAN WILLIAM C,Director,"Jun 15, 2021",$21.06,2000,42120,48700,"Jun 17, 2021, 01:30 PM",sell,19.899999618530273,18.889888959460787
76,PNC,Fallon Kieran John,Executive Vice President,"Jun 16, 2021",$188.36,125,23545,8543,"Jun 17, 2021, 01:29 PM",sell,178.3300018310547,158.6256662580702
77,MLAB,Schmieder John Bradley,Director,"Jun 16, 2021",$262.27,505,132446,71507,"Jun 17, 2021, 01:01 PM",sell,260.19000244140625,267.97227766248915
78,CERT,Edge Justin,"PRES., REGULATORY & ACCESS","Jun 16, 2021",$27.01,5000,135075,447090,"Jun 17, 2021, 12:59 PM",sell,27.610000610351562,31.314077069209173
79,MLAB,Sakys John,CFO,"Jun 16, 2021",$255.67,2119,541765,7514,"Jun 17, 2021, 12:50 PM",sell,260.19000244140625,267.97227766248915
80,RXT,Windham Holly B.,"EVP, Chief Legal & People Off","Jun 16, 2021",$20.19,10000,201926,165666,"Jun 17, 2021, 12:45 PM",sell,19.25,20.598777823978
81,APT,Millar Donna,Director,"Jun 15, 2021",$8.02,16800,134736,1268553,"Jun 17, 2021, 12:32 PM",sell,7.639999866485596,11.974888878398472
82,MLAB,Owens Gary M,President and CEO,"Jun 16, 2021",$255.67,6545,1673360,18396,"Jun 17, 2021, 12:25 PM",sell,260.19000244140625,267.97227766248915
83,MLAB,DINOIA GREGORY,SVP Commericial,"Jun 16, 2021",$255.67,1211,309616,2973,"Jun 17, 2021, 12:16 PM",sell,260.19000244140625,267.97227766248915
84,A,Grau Dominique,Senior Vice President,"Jun 16, 2021",$145.01,3487,505653,81420,"Jun 17, 2021, 12:16 PM",sell,145.00999450683594,122.4071661207411
85,A,Grau Dominique,Senior Vice President,"Jun 15, 2021",$145.03,3578,518917,81420,"Jun 17, 2021, 12:16 PM",sell,145.00999450683594,122.4071661207411
86,A,Ancher-Jensen Henrik,Sr Vice President,"Jun 14, 2021",$143.66,43731,6282526,76902,"Jun 17, 2021, 12:13 PM",sell,145.00999450683594,122.4071661207411
87,MLAB,Archbold Brian David,SVP Continuous Improvement,"Jun 16, 2021",$257.06,1336,343430,1608,"Jun 17, 2021, 12:06 PM",sell,260.19000244140625,267.97227766248915
88,SQFT,Bruen David,Director,"Jun 16, 2021",$4.11,2000,8225,35018,"Jun 17, 2021, 11:46 AM",sell,4.010000228881836,3.6912500099702314
89,SKX,GREENBERG JEFFREY,Director,"Jun 15, 2021",$48.85,10000,488491,831611,"Jun 17, 2021, 11:39 AM",sell,47.02000045776367,39.21555544535319
90,SKX,GREENBERG JEFFREY,Director,"Jun 16, 2021",$49.25,11150,549138,135054,"Jun 17, 2021, 11:39 AM",sell,47.02000045776367,39.21555544535319
91,SKX,GREENBERG JEFFREY,Director,"Jun 16, 2021",$49.25,10983,540913,115793,"Jun 17, 2021, 11:39 AM",sell,47.02000045776367,39.21555544535319
92,SKX,GREENBERG JEFFREY,Director,"Jun 16, 2021",$49.25,23212,1143191,808399,"Jun 17, 2021, 11:39 AM",sell,47.02000045776367,39.21555544535319
93,GOOG,Pichai Sundar,Chief Executive Officer,"Jun 16, 2021",$2515.71,3000,7547145,103161,"Jun 17, 2021, 11:20 AM",sell,2511.35009765625,1994.1341098361545
94,BKE,MOLCZYK KELLI D,VP WOMEN'S MERCHANDISING,"Jun 16, 2021",$42.04,2500,105112,53163,"Jun 17, 2021, 11:12 AM",sell,40.15999984741211,35.224222130245636
95,QURE,Kuta Alexander Edward III,"Executive VP, Operations","Jun 15, 2021",$35.43,6000,212580,68871,"Jun 17, 2021, 11:00 AM",sell,32.869998931884766,37.49538880454169
96,MSEX,Sohler Bernadette M,VP-Corporate Affairs,"Jun 16, 2021",$86.50,1000,86500,0,"Jun 17, 2021, 10:27 AM",sell,84.26000213623047,75.51994395785862
97,MAXR,Lee James CI,"SVP, General Counsel & Secty","Jun 16, 2021",$40.00,15789,631560,67433,"Jun 17, 2021, 09:05 AM",sell,38.88999938964844,36.213722186618384
98,IIVI,MATTERA VINCENT D JR,Chief Executive Officer,"Jun 16, 2021",$69.20,8500,588175,373088,"Jun 17, 2021, 08:50 AM",sell,67.45999908447266,70.35677774217393
99,SAM,KOCH C JAMES,Chairman,"Jun 16, 2021",$1003.34,2500,2508357,99694,"Jun 17, 2021, 08:39 AM",sell,970.0800170898438,1044.2397755940756
100,CELH,Li Ka Shing,10% Owner,"Jun 14, 2021",$62.50,2410878,150679875,6655136,"Jun 17, 2021, 06:03 AM",sell,65.4000015258789,47.9293334113227
1,BPSR,Shapiro George Craig,Chief Medical Officer,"Jun 15, 2021",$0.16,50000,8000,80675596,"Jun 16, 2021, 09:50 PM",sell,0.13899999856948853,0.1393222227692604
2,BPSR,Shapiro George Craig,Chief Medical Officer,"Jun 14, 2021",$0.14,32000,4480,80725596,"Jun 16, 2021, 09:50 PM",sell,0.13899999856948853,0.1393222227692604
3,BPSR,Shapiro George Craig,Chief Medical Officer,"Jun 16, 2021",$0.15,61454,9339,80635221,"Jun 16, 2021, 09:50 PM",sell,0.13899999856948853,0.1393222227692604
4,BPSR,MITRANI MARIA INES,Chief Science Officer,"Jun 15, 2021",$0.16,50000,8000,116807890,"Jun 16, 2021, 09:48 PM",sell,0.13899999856948853,0.1393222227692604
5,BPSR,MITRANI MARIA INES,Chief Science Officer,"Jun 14, 2021",$0.14,50000,7000,116857890,"Jun 16, 2021, 09:48 PM",sell,0.13899999856948853,0.1393222227692604
6,BPSR,MITRANI MARIA INES,Chief Science Officer,"Jun 16, 2021",$0.16,50000,8050,116757890,"Jun 16, 2021, 09:48 PM",sell,0.13899999856948853,0.1393222227692604
7,REPL,Love Colin,Chief Operating Officer,"Jun 15, 2021",$34.10,30000,1022906,878009,"Jun 16, 2021, 09:47 PM",sell,35.400001525878906,37.80563893847995
8,BPSR,BOTHWELL IAN T,Chief Financial Officer,"Jun 15, 2021",$0.16,50000,8000,148158726,"Jun 16, 2021, 09:47 PM",sell,0.13899999856948853,0.1393222227692604
9,BPSR,BOTHWELL IAN T,Chief Financial Officer,"Jun 14, 2021",$0.14,50000,7000,148208726,"Jun 16, 2021, 09:47 PM",sell,0.13899999856948853,0.1393222227692604
10,BPSR,BOTHWELL IAN T,Chief Financial Officer,"Jun 16, 2021",$0.15,90000,13890,148108726,"Jun 16, 2021, 09:47 PM",sell,0.13899999856948853,0.1393222227692604
11,DLR,Mercier Matt,"SVP, FINANCE AND ACCOUNTING","Jun 14, 2021",$162.25,205,33261,0,"Jun 16, 2021, 09:42 PM",sell,154.1999969482422,143.80583301120333
12,HGEN,Durrant Cameron,Chief Executive Officer,"Jun 14, 2021",$20.64,81441,1680934,85000,"Jun 16, 2021, 09:40 PM",sell,18.219999313354492,16.02038891845279
13,STKS,Segal Jonathan,"Director, Business Development","Jun 16, 2021",$11.42,9303,106197,4167989,"Jun 16, 2021, 09:39 PM",sell,10.779999732971191,5.830805563926697
14,FLEX,OFFER DAVID SCOTT,"EVP, General Counsel","Jun 14, 2021",$18.26,11449,209107,216053,"Jun 16, 2021, 09:34 PM",sell,16.81999969482422,17.174722152286105
15,FLEX,Hartung Michael P,"President, Agility Solutions","Jun 15, 2021",$18.05,5440,98214,132276,"Jun 16, 2021, 09:33 PM",sell,16.81999969482422,17.174722152286105
16,FLEX,Bennett David P,Chief Accounting Officer,"Jun 14, 2021",$18.26,55778,1018647,167985,"Jun 16, 2021, 09:31 PM",sell,16.81999969482422,17.174722152286105
17,FLEX,Barbier Francois,Group President,"Jun 14, 2021",$18.27,19906,363645,483714,"Jun 16, 2021, 09:30 PM",sell,16.81999969482422,17.174722152286105
18,FLEX,Advaithi Revathi,Chief Executive Officer,"Jun 14, 2021",$18.26,49065,896074,993242,"Jun 16, 2021, 09:29 PM",sell,16.81999969482422,17.174722152286105
